Case_ID,Attack_Type,Country,Region,Location,Victim_Name,Injury,Fatal,original order,Ages,Dates,Days,Months,Years,Sex_U,Sex_M,Activities,Species_Shark,long_shark
2014.01.25,Unprovoked,New Zealand,South Island,Garden Bay near Cosy Nook,James Grant,Minor injury to left lower leg & heel,N,5648.0,24,25-01-2014,25.0,1.0,2014.0,M,M,fishing,Gill Shark,Unknown
2014.01.04,Sea Disaster,Japan,Okinawa Prefecture,Off Miyako Island,Rianto,5 cm bite to left foot,N,5647.0,31,04-01-2014,4.0,1.0,2014.0,M,M,boating,Unknown,Unknown
2014.00.00,Boat,New Zealand,Foveaux Strait,Stewart Island,Dinghy. Occupants: Jeff Kurr and Andy Casagrande,"No injury to occupants, shark nudged and bit boat",N,5646.0,27,06-07-1905,6.0,7.0,1905.0,Unknown,M,other,White Shark,6.0
2013.12.25,Unprovoked,New Caledonia,North Province,"LindÃÂÃÂÃÂÃÂ©ralique, HienghÃÂÃÂÃÂÃÂ¨ne",LoÃÂÃÂÃÂÃÂ¯c Merlet,Leg bitten,N,5645.0,37,25-12-2013,25.0,12.0,2013.0,M,M,snorkeling,Reported To Involve A Bull Shark,Unknown
2013.12.16,Unprovoked,South Africa,Western Cape Province,Die Platt,Thomas Browne,Injuries to left thigh,N,5644.0,19,16-12-2013,16.0,12.0,2013.0,M,M,surfing,White Shark,3.0
2013.12.13,Unprovoked,Kiribati,740 miles SE of Tarawa Atoll,Unknown,male,Severe injury to arm,N,5643.0,35,13-12-2013,13.0,12.0,2013.0,M,M,other,Unknown,Unknown
2013.12.11,Unprovoked,United States,Hawaii,"Ninole Bay, Hawaii County",male,Lacerations to right hand & knee,N,5642.0,29,11-12-2013,11.0,12.0,2013.0,M,M,boarding,Tiger Shark,3.05
2013.12.10,Unprovoked,United States,Florida,"Cocoa Beach, Brevard  County",Bobby Baughman,Right foot bitten,N,5641.0,30,10-12-2013,10.0,12.0,2013.0,M,M,surfing,Shark,1.22
2013.12.05,Unprovoked,Australia,New South Wales,"Shelly Beach, near Port Macquarie",male,"Puncture wounds to hand, laceration to leg",N,5640.0,26,05-12-2013,5.0,12.0,2013.0,M,M,surfing,Wobbegong Shark,1.8
2013.12.02,Unprovoked,United States,Hawaii,"Between  Makena & Molokini, Maui",Patrick Briney,FATAL,Y,5639.0,57,02-12-2013,2.0,12.0,2013.0,M,M,other,Unknown,Unknown
2013.11.30,Unprovoked,Australia,New South Wales,"Riecks Point,  CampbellÃÂÃÂÃÂÃÂs Beach, ",Zac Young,FATAL,Y,5638.0,19,30-11-2013,30.0,11.0,2013.0,M,M,boarding,Tiger Shark,3.0
2013.11.29,Unprovoked,United States,Hawaii,"Keawekapu Beach, Kihei, Maui",female,Right calf bitten,N,5637.0,58,29-11-2013,29.0,11.0,2013.0,F,F,snorkeling,Unknown,Unknown
2013.11.23.a,Unprovoked,Australia,Western Australia,Gracetown,Chris Boyd,FATAL,Y,5636.0,35,23-11-2013,23.0,11.0,2013.0,M,M,surfing,Thought To Involve A White Shark,Unknown
2013.11.22,Unprovoked,United States,Oregon,"Gleneden Beach, Lincoln County",Andrew Gardiner,"No injury, board bitten",N,5635.0,25,22-11-2013,22.0,11.0,2013.0,M,M,surfing,White Shark,3.05
2013.11.12,Unprovoked,Australia,Western Australia,"Trigg Beach, Perth",Shaun Daly,"No injury, board bumped by shark",N,5634.0,27,12-11-2013,12.0,11.0,2013.0,M,M,surfing,Reported To Involve A White Shark,Unknown
2013.11.10,Provoked,Bahamas,Unknown,Off Cape Eleuthera,male,Injuries to arm & leg by hooked shark   PROVOKED INCIDENT,N,5633.0,77,10-11-2013,10.0,11.0,2013.0,M,M,fishing,Unknown,Unknown
2013.11.07.b,Unprovoked,United States,New Jersey,"Bay Head, Ocean County",Quinn Gates,"No injury, swim fin bitten",N,5632.0,16,07-11-2013,7.0,11.0,2013.0,M,M,boarding,Unknown,Unknown
2013.11.07.a,Unprovoked,United States,Florida,"Floridana Beach, Brevard County",Sandor Melian,Foot bitten,N,5631.0,27,07-11-2013,7.0,11.0,2013.0,M,M,surfing,Unknown,Unknown
2013.10.31,Unprovoked,United States,Hawaii,"Kanaha Beach, Maui",Christian Brandon,Severe bite to right calf & anklel,N,5630.0,46,31-10-2013,31.0,10.0,2013.0,M,M,boarding,Tiger Shark,Unknown
2013.10.28,Unprovoked,Australia,Western Australia,Turquoise Bay,Glenda Simmons,Lacerations to right arm,N,5629.0,60,28-10-2013,28.0,10.0,2013.0,F,F,snorkeling,Blacktip Reef Shark,1.0
2013.10.26.b,Unprovoked,Reunion,dÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂtang-SalÃÂÃÂÃÂÃÂ©,Ravine Mula,Gicquel Tanguy,Right leg severed,N,5628.0,24,26-10-2013,26.0,10.0,2013.0,M,M,boarding,Thought To Involve A Bull Shark,Unknown
2013.10.26.a,Unprovoked,Australia,Western Australia,"Little Island, near Hillarys",Todd Robinson,"No injury, swim fin shredded",N,5627.0,27,26-10-2013,26.0,10.0,2013.0,M,M,other,M White Shark,4.0
2013.10.24,Unprovoked,Australia,New South Wales,South Narrabeen Beach,Anthony Joyce,Injuries to right foot,N,5626.0,41,24-10-2013,24.0,10.0,2013.0,M,M,surfing,Wobbegong Shark,Unknown
2013.10.23,Unprovoked,United States,Hawaii,"Waiehu, Maui",Shane Mills,"3"" laceration to left hip",N,5625.0,45,23-10-2013,23.0,10.0,2013.0,M,M,diving,Whitetip Reef Shark,1.22
2013.10.20,Unprovoked,United States,Hawaii,"Pila'a Beach, Kaua'i",Jeff Horton,"No injury, shark bit surfboard",N,5624.0,25,20-10-2013,20.0,10.0,2013.0,M,M,surfing,Tiger Shark,Unknown
2013.10.19,Unprovoked,United States,Florida,Miami Beach,Logan Hamby,Bitten on left calf & foot,N,5623.0,6,19-10-2013,19.0,10.0,2013.0,M,M,standing/wading,Nurse Shark,Unknown
2013.10.11,Unprovoked,South Africa,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",Burgert Van Der Westhuizen,FATAL,Y,5622.0,74,11-10-2013,11.0,10.0,2013.0,M,M,other,White Shark,Unknown
2013.10.08,Unprovoked,Australia,Western Australia,"Off Poison Creek, Cape Arid",Greg Pickering,"Injuries to torso, head and face",N,5621.0,55,08-10-2013,8.0,10.0,2013.0,M,M,other,White Shark,Unknown
2013.10.05,Unprovoked,United States,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Jay Scrivner,Laceration to thigh,N,5620.0,45,06-10-2013,6.0,10.0,2013.0,M,M,surfing,White Shark,2.44
2013.10.05,Unprovoked,United States,Florida,"Destin, Okaloosa County",Zachary Tyke Standridge ,Lacerations to  right forearm,N,5619.0,12,10-10-2013,10.0,10.0,2013.0,M,M,standing/wading,Small Bull Shark,Unknown
2013.09.29.b,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",male,Lacerations to hand,N,5618.0,50,29-09-2013,29.0,9.0,2013.0,M,M,surfing,Unknown,Unknown
2013.09.29.a,Provoked,Israel,Southern District,Ashdod,Erez Lev,Hand bitten PROVOKED INCIDENT,N,5617.0,27,29-09-2013,29.0,9.0,2013.0,M,M,diving,Unknown,Unknown
2013.09.25,Unprovoked,United States,Florida,"Panama City, Bay County",Ethan Hand,Laceration and puncture wounds to ankle,N,5616.0,7,25-09-2013,25.0,9.0,2013.0,M,M,standing/wading,Unknown,Unknown
2013.09.21.b,Unprovoked,United States,Florida,"Ormond Beach, Volusia County",female,Lacerations to right foot,N,5615.0,45,21-09-2013,21.0,9.0,2013.0,M,M,swimming,Unknown,Unknown
2013.09.21.a,Unprovoked,United States,Florida,"Carlin Park, Jupiter, Palm Beach County",Brandon Dugan,Lacerations to left foream,N,5614.0,27,21-09-2013,21.0,9.0,2013.0,M,M,surfing,Unknown,Unknown
2013.09.14,Unprovoked,United States,Florida,"Casino Beach, Pensacola, Escambia County",Trevor Kalck,Lacerations to right foot,N,5613.0,21,14-09-2013,14.0,9.0,2013.0,M,M,swimming,Bull Shark,Unknown
2013.09.12,Unprovoked,United States,Florida,"New Smyrna Beach,  Volusia County",Storm Portman,Heel bitten,N,5612.0,13,12-09-2013,12.0,9.0,2013.0,F,F,surfing,Shark,0.91
2013.09.08,Unprovoked,United States,South Carolina,"St. Helena Island, Beaufort County",female,No details,Unknown,5611.0,27,08-09-2013,8.0,9.0,2013.0,F,F,unknown,Unknown,Unknown
2013.09.07.b,Provoked,United States,Florida,"New Smyrna Beach,  Volusia County",John Graham,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,N,5610.0,43,07-09-2013,7.0,9.0,2013.0,M,M,surfing,Shark,0.91
2013.09.07.a,Unprovoked,United States,Florida,"New Smyrna Beach,  Volusia County",Marco Edmundo Cardiel,"Minor injury, shin bitten",N,5609.0,25,07-09-2013,7.0,9.0,2013.0,M,M,standing/wading,Shark,0.91
2013.09.02,Unprovoked,United States,Florida,"Ormond Beach, Volusia County",Raushod Floyd,Shoulder bitten,N,5608.0,17,02-09-2013,2.0,9.0,2013.0,M,M,swimming,Unknown,Unknown
2013.09.01.c,Provoked,United States,Florida,Key West Aquarium,female,Arm bitten by captive shark PROVOKED INCIDENT,N,5607.0,3,01-09-2013,1.0,9.0,2013.0,M,M,unknown,Nurse Shark,Unknown
2013.09.01.b,Unprovoked,Bahamas,Unknown,Unknown,boy,Leg injured,N,5606.0,10,01-09-2013,1.0,9.0,2013.0,M,M,unknown,Unknown,Unknown
2013.09.01.a,Unprovoked,United States,Florida,"St Augustine Beach, St Johns County",Connor Baker,Lacerations to left calf,N,5605.0,9,01-09-2013,1.0,9.0,2013.0,M,M,other,Shark,1.22
2013.08.31.b,Unprovoked,Bahamas,Unknown,Freetown Beach,Bryan Collins,Lower left leg bitten,N,5604.0,27,31-08-2013,31.0,8.0,2013.0,M,M,fishing,Blacktip Shark,Unknown
2013.08.31.a,Unprovoked,United States,California,"Butterfly Beach, Montecito, Santa Barbara County",Nick Kennedy,Foot bitten,N,5603.0,27,31-08-2013,31.0,8.0,2013.0,M,M,swimming,Salmon Shark,Unknown
2013.08.29,Invalid,United States,California,Catalina Channel,Charlotte Brynn,"Puncture wound to torso. Reported as a bite by a leopard shark, the tooth fragment appears to be that of a bony fish",N,5602.0,47,29-08-2013,29.0,8.0,2013.0,F,F,swimming,Unknown,Unknown
2013.08.26,Provoked,France,Bay of Biscay,Unknown,Ramon Arufe,Laceration to right arm from hooked shark  PROVOKED INCIDENT,N,5601.0,50,26-08-2013,26.0,8.0,2013.0,M,M,other,Mako Shark,1.52
2013.08.25.b,Unprovoked,United States,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",Riley Breihan,Minor injury to left lower leg & heel,N,5600.0,11,25-08-2013,25.0,8.0,2013.0,F,F,boarding,Unknown,Unknown
2013.08.25,Unprovoked,Australia,New South Wales,Smiths,Otto Lee,Lacerations to left forearm,N,5599.0,27,25-08-2013,25.0,8.0,2013.0,M,M,other,Unknown,Unknown
2013.08.18,Unprovoked,United States,Hawaii,Pohoiki ,Jimmy Napeahi,Lacerations to buttocks & thigh,N,5598.0,16,18-08-2013,18.0,8.0,2013.0,M,M,surfing,Unknown,Unknown
2013.08.17,Unprovoked,United States,California,"Pillar Point, Half-Moon Bay, San Mateo County",Wendi Zuccaro,"No injury, shark bumped surfboard",N,5597.0,27,17-08-2013,17.0,8.0,2013.0,F,F,surfing,White Shark,Unknown
2013.08.14,Unprovoked,United States,Hawaii,"Makenat, Maui",Jana Lutteropp,FATAL,Y,5596.0,20,14-08-2013,14.0,8.0,2013.0,F,F,snorkeling,Tiger Shark,Unknown
2013.08.13,Unprovoked,United States,Hawaii,"Ka'a Point, Maui",Morgan Flannery,No injury & not on board. Board adrift when bitten by shark,N,5595.0,19,13-08-2013,13.0,8.0,2013.0,F,F,boarding,Unknown,Unknown
2013.08.11,Unprovoked,United States,South Carolina,Folly Beach,Tyson Royston,"No injury, shark became entangled in his surfboard leash",N,5594.0,10,11-08-2013,11.0,8.0,2013.0,M,M,surfing,Bull Shark,2.44
2013.08.08.R,Unprovoked,South Africa,Unknown,Unknown,Tyler,"Unknown, but survived",N,5593.0,27,08-08-2013,8.0,8.0,2013.0,M,M,other,Blacktip Shark,Unknown
2013.08.05,Unprovoked,United States,Florida,"Sanibel Island, Lee County",Christian Mercurio,Minor injury to foot & shin,N,5592.0,17,05-08-2013,5.0,8.0,2013.0,M,M,fishing,Bull Shark,1.83
2013.07.31,Unprovoked,United States,Hawaii,"Ulua Beach, Maui",Evonne Cashman,"Lacerations to hand, face and torso",N,5591.0,56,31-07-2013,31.0,7.0,2013.0,F,F,snorkeling,Unknown,Unknown
2013.07.30,Unprovoked,United States,South Carolina,"Isle of Palms, Charleston County",Ty Bretz,Foot bitten,N,5590.0,32,30-07-2013,30.0,7.0,2013.0,M,M,swimming,Unknown,Unknown
2013.07.29.c,Unprovoked,Bahamas,Abaco Islands,Scotland Cay,Erik Norrie,Leg bitten,N,5589.0,40,28-07-2013,28.0,7.0,2013.0,M,M,fishing,Shark,1.83
2013.07.29.b,Unprovoked,Mexico,Quintana Roo,"Santa Rosa, Cozumel",Bonnie Davis,Hip bitten,N,5588.0,27,29-07-2013,29.0,7.0,2013.0,F,F,standing/wading,Unknown,Unknown
2013.07.29.a,Unprovoked,United States,Hawaii,"White Plains Beach, Oahu",Kiowa Gatewood,Lower leg bitten,N,5587.0,18,29-07-2013,29.0,7.0,2013.0,M,M,surfing,Tiger Shark,2.44
2013.07.28.b,Unprovoked,Bahamas,Exuma Islands,Compass Cay,male,Bitten on left hand,N,5586.0,64,28-07-2013,28.0,7.0,2013.0,M,M,other,Nurse Shark,Unknown
2013.07.28.a,Unprovoked,Bahamas,Abaco Islands,Grand Cay,male,Bitten on rear lower extremities,N,5585.0,50,28-07-2013,28.0,7.0,2013.0,M,M,diving,Unknown,Unknown
2013.07.22,Unprovoked,Brazil,Pernambuco,"Boa Viagem Beach, Recife",Bruna Silva Gobbi ,FATAL,Y,5584.0,18,22-07-2013,22.0,7.0,2013.0,F,F,swimming,Unknown,Unknown
2013.07.19,Unprovoked,United States,Alabama,"Gulf Shores, Baldwin County",Laura Havrylkoff,Lacerations and abrasions to foot and ankle,N,5583.0,50,19-07-2013,19.0,7.0,2013.0,F,F,other,Unknown,Unknown
2013.07.17.R,Unprovoked,United States,Florida,"Butler Beach, St Augustine,       St. Johns County",male,4 cuts to posterior calf,N,5582.0,16,17-07-2013,17.0,7.0,2013.0,M,M,swimming,Unknown,Unknown
2013.07.15,Unprovoked,Reunion,Saint-Paul,Le cimetiÃÂÃÂÃÂÃÂ¨re marin,Sarah Roperh,FATAL,Y,5581.0,15,15-07-2013,15.0,7.0,2013.0,F,F,other,Unknown,Unknown
2013.07.14,Unprovoked,Diego Garcia,Unknown,Unknown,Fernando Licay,FATAL,Y,5580.0,33,14-07-2013,14.0,7.0,2013.0,M,M,swimming,Unknown,Unknown
2013.07.11,Unprovoked,United States,North Carolina,Holden Beach. Brunswick County,Barbara Corey,Right foot bitten,N,5579.0,63,11-07-2013,11.0,7.0,2013.0,F,F,standing/wading,Unknown,Unknown
2013.07.09,Invalid,Spain,Catalonia,"Sant Marti dÃÂÃÂÃÂÃÂEmpuries Beach, LÃÂÃÂÃÂÃÂEscala",Thierry Frennet,"Scrape to right forearm. Frennet says inflicted by a blue shark, but authorities question shark involvement",N,5578.0,48,07-07-2013,7.0,7.0,2013.0,M,M,swimming,Unknown,Unknown
2013.07.02,Unprovoked,Australia,Victoria,"Flinders, Mornington Penisula",Jimmy McDonald-Jones,"No injury, holes in wetsuit ",N,5577.0,29,02-07-2013,2.0,7.0,2013.0,M,M,boarding,Unknown,Unknown
2013.06.30,Unprovoked,Taiwan,Taitung ,Taimali,male,Right thigh bitten,N,5576.0,27,30-06-2013,30.0,6.0,2013.0,M,M,fishing,Unknown,Unknown
2013.06.27,Invalid,Jamaica,Kingston Parish,Port Royal,Kevin,Probable drowning with post-mortem bites,Y,5575.0,20,27-06-2013,27.0,6.0,2013.0,M,M,unknown,Unknown,Unknown
2013.06.25.c,Unprovoked,United States,California,"Pacific State , San Mateo County",Micah Flanaburg,"No injury, kayak scratched",N,5574.0,27,25-06-2013,25.0,6.0,2013.0,M,M,other,White Shark,Unknown
2013.06.25.b,Unprovoked,United States,Florida,"Jacksonville, Duval County",Colleen Malone,Lacerations to left foot,N,5573.0,27,25-06-2013,25.0,6.0,2013.0,M,M,swimming,Possibly A Bull Shark,0.91
2013.06.25.a,Unprovoked,United States,South Carolina,"Kiawah Island, Charleston County",Joshua Watson,"Bitten on lower right leg, reported as a minor injury",N,5572.0,14,25-06-2013,25.0,6.0,2013.0,M,M,swimming,Shark,1.22
2013.06.18,Unprovoked,United States,Hawaii,Kona Coast State Park,James Kerrigan,Right thigh & calf bitten,N,5571.0,28,18-06-2013,18.0,6.0,2013.0,M,M,swimming,Tiger Shark,4.27
2013.06.17,Unprovoked,United States,Texas,"Surfside Beach, Brazoria County",Garrett Sebesta ,Left leg & hand bitten,N,5570.0,15,17-06-2013,17.0,6.0,2013.0,M,M,swimming,Unknown,Unknown
2013.06.16,Unprovoked,South Africa,Eastern Cape Province,Queensberry Bay,Kevin Bracey,Lacerations to knee,N,5569.0,27,16-06-2013,16.0,6.0,2013.0,M,M,surfing,Unknown,Unknown
2013.06.15,Unprovoked,United States,Florida,"Atlantic Beach, Duval County",female,Lacerations to left ankle,N,5568.0,27,15-06-2013,15.0,6.0,2013.0,F,F,surfing,Unknown,Unknown
2013.06.14.R,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",Allison Foreman,Puncture marks to hand,N,5567.0,10,14-06-2013,14.0,6.0,2013.0,F,F,boarding,Shark,1.22
2013.06.06.b,Provoked,United States,Florida,"Off Snipe Point, Florida Keys, Monroe County",Walter Kefauver,Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,N,5566.0,58,06-06-2013,6.0,6.0,2013.0,M,M,other,Lemon Shark,1.22
2013.06.06.a,Unprovoked,Australia,New South Wales,Target Beach,Steve Adamson,"No injury, board damaged",N,5565.0,27,06-06-2013,6.0,6.0,2013.0,M,M,surfing,Shark,1.83
2013.05.27.b,Unprovoked,United States,Hawaii,"Halewia, Oahu",Tali Ena,Lacerations to right hand,N,5564.0,32,27-05-2013,27.0,5.0,2013.0,M,M,diving,Galapagos Shark,Unknown
2013.05.27.a,Unprovoked,United States,Florida,"Ormond Beach, Volusia County",Kyle Kirkpatrick,Right foot bitten,N,5563.0,11,27-05-2013,27.0,5.0,2013.0,M,M,swimming,Unknown,Unknown
2013.05.23.b,Unprovoked,Brazil,Pernambuco,Coral Cove Beach,JosÃÂÃÂÃÂÃÂ© RogÃÂÃÂÃÂÃÂ©rio da Silva,FATAL,Y,5562.0,41,23-05-2013,23.0,5.0,2013.0,M,M,unknown,Unknown,Unknown
2013.05.23.a,Provoked,Palestinian Territories,Unknown,Gaza,Hamed Salah,Two fingers lost PROVOKED INCIDENT,N,5561.0,30,23-05-2013,23.0,5.0,2013.0,M,M,fishing,Unknown,Unknown
2013.05.14,Unprovoked,Ecuador,Santa Cruz Island,"Playa Brava, Turtle Bay",Intriago Diego,Superficial injury to left calf,N,5560.0,29,14-05-2014,14.0,5.0,2014.0,M,M,surfing,Galapagos Shark,Unknown
2013.05.08.b,Invalid,United States,California,"Tourmaline Surf Park, San Diego County",Brandon Beaver,Shark bites were post-mortem,Y,5559.0,42,08-05-2013,8.0,5.0,2013.0,M,M,surfing,Unknown,Unknown
2013.05.08.a,Unprovoked,Reunion,Saint-Gilles,Brisant Beach,StÃÂÃÂÃÂÃÂ©phane Berhamel,FATAL,Y,5558.0,36,08-05-2013,8.0,5.0,2013.0,M,M,boarding,Bull Shark,Unknown
2013.05.04.a,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",Michael Adler,Lacerations to left foot and ankle,N,5557.0,16,04-05-2013,4.0,5.0,2013.0,M,M,surfing,A Small Shark,Unknown
2013.04.28,Provoked,Australia,New South Wales,Emerald Beach,Ted Collins,Foot bitten by landed shark PROVOKED INCIDENT,N,5556.0,27,28-04-2013,28.0,4.0,2013.0,M,M,fishing,Unknown,2.0
2013.04.24,Unprovoked,Mexico,Quintana Roo,"Seagull Beach, Cancun",Isabella Carchia,Avulsion injury  to lower right leg,N,5555.0,34,24-04-2013,24.0,4.0,2013.0,F,F,swimming,Tiger Shark,Unknown
2013.04.21,Unprovoked,Australia,New South Wales,Crowdy Head,Alan Saunders,Puncture wounds and lacerations to both legs,N,5554.0,51,21-04-2013,21.0,4.0,2013.0,M,M,fishing,Grey Nurse Shark,3.0
2013.04.17,Unprovoked,United States,Florida,"Near Boynton Beach, Palm Beach County",Colten Cicarelli,Lacerations to right foot,N,5553.0,9,17-04-2013,17.0,4.0,2013.0,M,M,other,Shark,0.91
2013.04.14,Unprovoked,South Africa,Western Cape Province,False Bay,male,"""Light scratch on hand/wrist area""",N,5552.0,27,14-04-2013,14.0,4.0,2013.0,M,M,diving,Blue Shark,Unknown
2013.04.13.b,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",Joshua White,Minor lacerations to right hand,N,5551.0,21,13-04-2013,13.0,4.0,2013.0,M,M,surfing,Bull Shark,Unknown
2013.04.13.a,Unprovoked,Guam,Unknown,Unknown,Nae Deok Kim,FATAL,Y,5550.0,40,13-04-2013,13.0,4.0,2013.0,M,M,unknown,Unknown,Unknown
2013.04.10,Unprovoked,French Polynesia,Tuamotus,"North Pass, Fakarava",Nick Eitel,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",N,5549.0,53,10-04-2013,10.0,4.0,2013.0,M,M,boarding,Possibly A Blacktip Reef Shark,Unknown
2013.04.04,Unprovoked,United States,Florida,"Jensen Beach, Martin County ",male,Lacerations to hand,N,5548.0,50,04-04-2013,4.0,4.0,2013.0,M,M,swimming,Unknown,Unknown
2013.04.02.R,Invalid,Australia,Western Australia,Perth,Martin Tann,Disappeared. No evidence that he was taken by a shark,Y,5547.0,24,02-04-2013,2.0,4.0,2013.0,M,M,unknown,Unknown,Unknown
2013.04.02.a,Unprovoked,United States,Hawaii,KaÃÂÃÂÃÂÃÂanapali Shores,male,Right thigh bitten,N,5546.0,58,02-04-2013,2.0,4.0,2013.0,M,M,surfing,Shark,1.22
2013.03.31,Invalid,Australia,New South Wales,Terrigal Beach,Richard Tognetti,Never happened; it was a  hoax,N,5545.0,47,31-03-2013,31.0,3.0,2013.0,M,M,surfing,Unknown,Unknown
2013.03.29,Unprovoked,Seychelles,Unknown,Ile Platte,Richard Parkinson,Lacerations to left foot,N,5544.0,34,29-03-2013,29.0,3.0,2013.0,M,M,diving,Unknown,Unknown
2013.03.21.R,Unprovoked,Belize,Unknown,Unknown,Monika Wanis,Toe injured,N,5543.0,27,21-03-2013,21.0,3.0,2013.0,F,F,snorkeling,Nurse Shark,Unknown
2013.03.21,Unprovoked,Bahamas,Eleuthera,Savannah Sound,Kerry Anderson,Left foot bitten,N,5542.0,50,21-03-2013,21.0,3.0,2013.0,M,M,fishing,Unknown,Unknown
2013.03.16.b,Provoked,South Africa,Western Cape Province,De Mond,Kobus Koeberg,Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,N,5541.0,30,16-03-2013,16.0,3.0,2013.0,M,M,other,Raggedtooth Shark,1.5
2013.03.16.a,Unprovoked,South Africa,Western Cape Province,Hawston Beach,Troy Henri,"No injury, surfboard bitten",N,5540.0,27,16-03-2013,16.0,3.0,2013.0,M,M,surfing,Unknown,Unknown
2013.03.12,Unprovoked,Jamaica,St. Catherine,Pillikin Red Light area ,George Facey,FATAL,Y,5539.0,68,12-03-2013,12.0,3.0,2013.0,M,M,fishing,Tiger Shark,4.8
2013.03.10.b,Unprovoked,Australia,Western Australia,African Reef off Geraldton,Adam Thomason,Laceration to left hand,N,5538.0,28,10-03-2013,10.0,3.0,2013.0,M,M,fishing,Bronze Whaler Shark,2.5
2013.03.10.a,Unprovoked,Philippines,Palawan,Off Likas Island,Alvin Lovido & John Paul Mangaoang,Minor leg injuries,N,5537.0,27,10-03-2013,10.0,3.0,2013.0,M,M,other,Unknown,Unknown
2013.03.03,Unprovoked,South Africa,Eastern Cape Province,Port St. John's,Fundile Nogumla,Injuries to arms & hands,N,5536.0,39,03-03-2013,3.0,3.0,2013.0,M,M,swimming,Unknown,Unknown
2013.02.27,Unprovoked,New Zealand,North Island,Muriwai,Adam Strange,FATAL,Y,5535.0,46,27-02-2013,27.0,2.0,2013.0,M,M,swimming,White Shark,4.0
2013.02.21.b,Unprovoked,United States,Hawaii,"Ka'anapali, Honokowai, Maui",,Lacerations to right leg,N,5534.0,27,21-02-2013,21.0,2.0,2013.0,Unknown,M,surfing,Reef Shark,Unknown
2013.02.21.a,Unprovoked,United States,Hawaii,"Paia Bay, Maui",Jacob Lanskey,"No injury, shark bit rail of foam board",N,5533.0,27,21-02-2013,21.0,2.0,2013.0,M,M,surfing,Reef Shark,Unknown
2013.02.10,Unprovoked,United States,Florida,"""Stuart Rocks"", Martin County",Cole Taschman,Lacerations to right hand,N,5532.0,16,10-02-2013,10.0,2.0,2013.0,M,M,surfing,Blacktip Shark,1.22
2013.02.09,Unprovoked,French Polynesia,Society Islands,"Tapu, a dive site on the outer reefs of Bora Bora",Zohar Kritzer ,Lacerations to right arm & thigh,N,5531.0,48,09-02-2013,9.0,2.0,2013.0,M,M,diving,Lemon Shark,Unknown
2013.02.01,Unprovoked,Jamaica,Kingston Parish,Pedro Cays,male,Knee bitten,N,5530.0,18,01-02-2013,1.0,2.0,2013.0,M,M,unknown,Unknown,Unknown
2013.01.26,Boat,Australia,Victoria,Cape Nelson,"Occupants: Andrew & Ben Donegan & Joel Ryan, ","No injury to occupants, shark bit propeller",N,5529.0,27,26-01-2013,26.0,1.0,2013.0,M,M,fishing,White Shark,5.0
2013.01.25,Unprovoked,Australia,Queensland,Noosa,Matthew Cassaigne,Lacerations to neck,N,5528.0,27,25-01-2013,25.0,1.0,2013.0,M,M,surfing,Unknown,Unknown
2013.01.21.R,Invalid,Australia,Queensland,Bullcock Beach,Paul Marshallsea,"No injury, a 3 m blue shark merely snapped at the man.",N,5527.0,62,21-01-2013,21.0,1.0,2013.0,M,M,other,Unknown,Unknown
2013.01.16,Unprovoked,United States,Hawaii,Kiholo Bay,Paul Santos,Left forearm bitten ,N,5526.0,43,16-01-2013,16.0,1.0,2013.0,M,M,surfing,Tiger Shark,4.57
2013.01.13,Unprovoked,New Zealand,Mercury Islands,Great Mercury Island,Kim Bade,Minor cut on finger,N,5525.0,27,13-01-2013,13.0,1.0,2013.0,M,M,fishing,Bronze Whaler Shark,3.0
2013.01.05,Unprovoked,Australia,Western Australia,Near Legendre Island,Jake Swaffer,Calf & shin bitten ,N,5524.0,26,05-01-2013,5.0,1.0,2013.0,M,M,other,Unknown,Unknown
2012.12.31,Unprovoked,United States,Florida,"Jensen Beach, Martin County ",male,Lower leg or ankle bitten,N,5523.0,27,31-12-2012,31.0,12.0,2012.0,M,M,swimming,Unknown,Unknown
2012.12.30,Unprovoked,Australia,New South Wales,Between Dee Why and Long Reef,Danny Sheather,"No injury, chunk missing from surfboard",N,5522.0,23,30-12-2012,30.0,12.0,2012.0,M,M,surfing,Unknown,2.5
2012.12.28,Unprovoked,Australia,New South Wales,"Kylie's Beach, Diamond Head",Luke Allan,Lacerations to thigh and hand,N,5521.0,29,28-12-2012,28.0,12.0,2012.0,M,M,boarding,Bull Shark,2.0
2012.12.25,Unprovoked,South Africa,Eastern Cape Province,Port St. John's,Liya Sibili,FATAL,Y,5520.0,20,25-12-2012,25.0,12.0,2012.0,M,M,swimming,Tiger Shark,Unknown
